route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
M1,weekday,WD_T154,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T155,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T156,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T157,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T158,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T159,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T160,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T161,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T162,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T163,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T164,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T165,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T166,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T167,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T168,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T169,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T170,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T171,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T172,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T173,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T174,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T175,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T176,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T177,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T178,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T179,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T180,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T181,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T182,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T183,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T184,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T185,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T186,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T187,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T188,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T189,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T190,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T191,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T192,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T193,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T194,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T195,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T196,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T197,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T198,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T199,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T200,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T201,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T202,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T203,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T204,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T205,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T206,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T207,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T208,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T209,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T210,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T211,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T212,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T213,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T214,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T215,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T216,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T217,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T218,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T219,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T220,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T221,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T222,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T223,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T224,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T225,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T226,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T227,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T228,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T229,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T230,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T231,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T232,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T233,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T234,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T235,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T236,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T237,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T238,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T239,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T240,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T241,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T242,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T243,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T244,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T245,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T246,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T247,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T248,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T249,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T250,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T251,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T252,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T253,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T254,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T255,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T256,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T257,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T258,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T259,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T260,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T261,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T262,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T263,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T264,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T265,Bundaran HI Bank Jakarta,1,shape_M1_1
M1,weekday,WD_T266,Bundaran HI Bank Jakarta,1,shape_M1_1
