shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_M1_0,-6.2888705,106.7953384,149,11982.387755233072
shape_M1_0,-6.289329,106.795337,150,12033.096882728549
shape_M1_0,-6.2897543,106.7953062,151,12080.257272493602
shape_M1_0,-6.290854,106.7951922,152,12202.533730123503
shape_M1_0,-6.2910833,106.7951614,153,12228.121729754921
shape_M1_0,-6.2912806,106.7951131,154,12250.58768875733
shape_M1_0,-6.2914885,106.7950313,155,12275.298619884587
shape_M1_0,-6.2916925,106.7949267,156,12300.656591957837
shape_M1_0,-6.2918698,106.7947899,157,12325.429363141844
shape_M1_0,-6.2920311,106.7946397,158,12349.812144601461
shape_M1_0,-6.2921577,106.7944694,159,12373.290096097908
shape_M1_0,-6.2922604,106.7943017,160,12395.048278686978
shape_M1_0,-6.292343,106.7941019,161,12418.97164162152
shape_M1_0,-6.292451,106.7939048,162,12443.839701243944
shape_M1_0,-6.2924853,106.793627,163,12474.815037652297
shape_M1_0,-6.2924711,106.7924632,164,12603.6141050531
shape_M1_0,-6.2924629,106.790543,165,12816.110782940701
shape_M1_0,-6.2924345,106.7874175,166,13162.001219984913
shape_M1_0,-6.2924164,106.7865146,167,13261.938490929926
shape_M1_0,-6.292363,106.7860848,168,13309.866506559885
shape_M1_0,-6.2922524,106.7855702,169,13368.112318546799
shape_M1_0,-6.2920609,106.7849204,170,13443.074935981504
shape_M1_0,-6.2917809,106.7840581,171,13543.39818516978
shape_M1_0,-6.2915376,106.7832296,172,13638.94914740053
shape_M1_0,-6.2913099,106.7824356,173,13730.352741288916
shape_M1_0,-6.2910723,106.7816684,174,13819.226689092491
shape_M1_0,-6.290882,106.7811012,175,13885.429037200614
shape_M1_0,-6.2907081,106.7806277,176,13941.245905501337
shape_M1_0,-6.2904355,106.7800927,177,14007.684649119106
shape_M1_0,-6.2901261,106.7795949,178,14072.535075207063
shape_M1_0,-6.2899036,106.7792491,179,14118.031364778091
shape_M1_0,-6.2896587,106.7788519,180,14169.661394229795
shape_M1_0,-6.2894663,106.7785706,181,14207.368487563112
shape_M1_0,-6.2893198,106.7782452,182,14246.85532890645
shape_M1_0,-6.2892318,106.7779414,183,14281.855045381764
shape_M1_0,-6.2891885,106.7777173,184,14307.112686335722
shape_M1_0,-6.2891662,106.7774632,185,14335.340023619363
shape_M1_0,-6.289166,106.7772267,186,14361.51175425671
shape_M1_0,-6.289185,106.7769335,187,14394.026017002236
shape_M1_0,-6.2892814,106.7763224,188,14462.487192082479
shape_M1_0,-6.2892693,106.7760707,189,14490.373091139349
shape_M1_0,-6.2892712,106.7758229,190,14517.796079586602
